Workload,BASE_,PRAC_ONLY_DELAY,MOAT_ath16,MOAT_ath20,MOAT_ath24,MOAT_ath28,MOAT_ath32,MOAT_ath64,MOAT_ath128,MOAT_ath256
GMEAN,1.000,1.113,1.144,1.125,1.117,1.114,1.113,1.113,1.113,1.113
cam4,1.000,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084
mcf,1.000,1.031,1.054,1.034,1.032,1.031,1.031,1.031,1.031,1.031
xalancbmk,1.000,1.130,1.132,1.130,1.130,1.130,1.130,1.130,1.130,1.130
omnetpp,1.000,1.176,1.206,1.181,1.176,1.176,1.176,1.176,1.176,1.176
lbm,1.000,1.121,1.238,1.189,1.129,1.120,1.121,1.121,1.121,1.121
cactuBSSN,1.000,1.158,1.192,1.158,1.158,1.158,1.158,1.158,1.158,1.158
fotonik3d,1.000,1.178,1.185,1.176,1.178,1.178,1.178,1.178,1.178,1.178
bwaves,1.000,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089
blender,1.000,1.092,1.092,1.092,1.092,1.092,1.092,1.092,1.092,1.092
roms,1.000,1.094,1.095,1.089,1.092,1.094,1.094,1.094,1.094,1.094
xz,1.000,1.179,1.229,1.196,1.182,1.179,1.179,1.179,1.179,1.179
parest,1.000,1.042,1.145,1.094,1.068,1.052,1.043,1.042,1.042,1.042
