Workload,BASE_,PRAC_ONLY_DELAY,MOPAC_RP_nrh250,MOPAC_RP_nrh500,MOPAC_RP_nrh1000
GMEAN,1.000,1.099,1.165,1.025,1.004
cam4,1.000,1.084,1.070,1.006,1.001
mix1,1.000,1.148,1.197,1.029,1.000
mcf,1.000,1.031,1.173,1.020,1.007
add,1.000,1.005,1.024,1.001,1.001
mix4,1.000,1.157,1.232,1.023,1.002
mix6,1.000,1.126,1.168,1.023,1.001
xalancbmk,1.000,1.130,1.129,1.004,1.002
scale,1.000,1.010,1.015,1.001,1.001
omnetpp,1.000,1.176,1.281,1.058,1.016
lbm,1.000,1.121,1.379,1.038,1.012
mix2,1.000,1.142,1.270,1.041,1.006
cactuBSSN,1.000,1.158,1.200,1.029,1.002
mix3,1.000,1.137,1.247,1.043,1.006
fotonik3d,1.000,1.178,1.152,1.024,1.012
masstree,1.000,1.072,1.177,1.020,1.003
bwaves,1.000,1.089,1.118,1.003,1.003
triad,1.000,1.008,1.024,1.001,1.001
blender,1.000,1.092,1.064,1.003,0.998
mix5,1.000,1.119,1.224,1.035,1.004
roms,1.000,1.094,1.109,1.017,0.988
xz,1.000,1.179,1.316,1.085,1.012
parest,1.000,1.042,1.300,1.075,1.009
copy,1.000,1.006,1.018,1.001,1.001
