Workload,BASE_,PRAC_ONLY_DELAY,PRAC_PAC_nrh125,PRAC_PAC_nrh250,PRAC_PAC_nrh500,PRAC_PAC_nrh1000,PRAC_PAC_nrh2000,PRAC_PAC_nrh4000
GMEAN,1.000,1.103,1.058,1.033,1.018,1.010,1.005,1.002
cam4,1.000,1.084,1.046,1.023,1.010,1.009,1.002,1.005
mix1,1.000,1.176,1.100,1.058,1.030,1.015,1.008,1.005
mcf,1.000,1.031,1.017,1.012,1.010,1.005,1.009,0.999
add,1.000,1.005,1.004,1.003,1.003,1.002,1.002,1.000
mix4,1.000,1.168,1.090,1.049,1.027,1.015,1.007,1.004
mix6,1.000,1.152,1.079,1.044,1.023,1.012,1.007,1.002
xalancbmk,1.000,1.130,1.071,1.041,1.025,1.014,1.008,1.004
scale,1.000,1.010,1.005,1.004,1.003,1.003,1.001,1.001
omnetpp,1.000,1.176,1.097,1.052,1.029,1.014,1.007,1.003
lbm,1.000,1.121,1.064,1.036,1.020,1.010,1.006,1.002
mix2,1.000,1.150,1.083,1.047,1.025,1.013,1.006,1.004
cactuBSSN,1.000,1.158,1.101,1.065,1.023,1.016,1.001,1.003
mix3,1.000,1.138,1.075,1.038,1.022,1.011,1.006,1.003
fotonik3d,1.000,1.178,1.126,1.073,1.041,1.020,1.011,1.004
masstree,1.000,1.072,1.030,1.015,1.008,1.005,1.003,1.002
bwaves,1.000,1.089,1.041,1.022,1.012,1.006,1.003,0.999
triad,1.000,1.008,1.005,1.004,1.002,1.002,1.001,1.000
blender,1.000,1.092,1.055,1.033,1.019,1.007,1.005,1.000
mix5,1.000,1.162,1.085,1.047,1.024,1.013,1.005,1.003
roms,1.000,1.093,1.051,1.020,1.013,1.008,1.005,0.994
xz,1.000,1.179,1.103,1.062,1.031,1.016,1.008,1.003
parest,1.000,1.042,1.018,1.009,1.006,1.003,1.000,1.000
copy,1.000,1.006,1.005,1.004,1.003,1.003,1.002,1.002
