Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_nrh1000,PRAC_MOPAC_buf8_nrh1000,PRAC_MOPAC_buf16_nrh1000,PRAC_MOPAC_buf32_nrh1000,PRAC_MOPAC_buf64_nrh1000
GMEAN,1.000,1.099,1.024,1.008,1.002,1.002,1.002
cam4,1.000,1.084,1.012,1.002,1.001,1.000,1.000
mix1,1.000,1.148,1.038,1.002,0.999,0.999,1.000
mcf,1.000,1.031,1.013,1.009,1.003,1.006,1.004
add,1.000,1.005,1.000,1.000,1.000,1.000,1.000
mix4,1.000,1.157,1.042,1.012,1.000,1.000,1.000
mix6,1.000,1.126,1.009,1.000,1.001,1.000,1.000
xalancbmk,1.000,1.130,1.002,1.000,1.000,1.000,1.000
scale,1.000,1.010,1.000,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.065,1.032,1.013,1.011,1.009
lbm,1.000,1.121,1.058,1.024,1.011,1.007,1.007
mix2,1.000,1.142,1.051,1.018,1.004,1.006,1.002
cactuBSSN,1.000,1.158,1.098,1.043,1.006,0.993,1.000
mix3,1.000,1.137,1.032,1.013,1.004,1.002,1.001
fotonik3d,1.000,1.178,1.085,1.029,1.009,1.007,1.005
masstree,1.000,1.072,1.003,1.001,1.000,1.000,1.000
bwaves,1.000,1.089,1.003,0.999,1.000,1.000,1.000
triad,1.000,1.008,1.000,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.000,1.000,1.000,1.000,1.000
mix5,1.000,1.119,1.022,1.006,1.000,0.999,1.000
roms,1.000,1.094,0.985,0.985,0.980,1.000,1.000
xz,1.000,1.179,1.030,1.013,1.010,1.007,1.008
parest,1.000,1.042,1.005,1.001,1.000,1.000,1.000
copy,1.000,1.006,1.000,1.000,1.000,1.000,1.000
