Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_df0_nrh500,PRAC_MOPAC_df1_nrh500,PRAC_MOPAC_df2_nrh500,PRAC_MOPAC_df4_nrh500
GMEAN,1.000,1.103,1.064,1.031,1.007,1.001
cam4,1.000,1.084,1.026,1.010,1.007,1.000
mix1,1.000,1.176,1.072,1.036,1.007,1.002
mcf,1.000,1.031,1.074,1.042,1.010,1.000
add,1.000,1.005,1.056,1.014,1.000,1.000
mix4,1.000,1.168,1.068,1.033,1.004,1.002
mix6,1.000,1.152,1.066,1.032,1.002,1.001
xalancbmk,1.000,1.130,1.040,1.009,1.001,1.000
scale,1.000,1.010,1.056,1.012,1.000,1.000
omnetpp,1.000,1.176,1.090,1.058,1.026,1.005
lbm,1.000,1.121,1.076,1.046,1.016,1.000
mix2,1.000,1.150,1.077,1.044,1.010,1.003
cactuBSSN,1.000,1.158,1.064,1.061,1.021,0.999
mix3,1.000,1.138,1.073,1.037,1.007,1.003
fotonik3d,1.000,1.178,1.082,1.049,1.016,1.000
masstree,1.000,1.072,1.085,1.040,1.000,1.000
bwaves,1.000,1.089,1.064,1.025,0.998,1.000
triad,1.000,1.008,1.060,1.015,1.000,1.000
blender,1.000,1.092,1.023,1.001,1.000,1.000
mix5,1.000,1.162,1.070,1.037,1.005,1.002
roms,1.000,1.093,1.045,1.028,1.001,1.000
xz,1.000,1.179,1.086,1.057,1.023,1.002
parest,1.000,1.042,1.059,1.022,1.005,1.005
copy,1.000,1.006,1.055,1.012,1.000,1.000
